,record number,title,language
298,970671,"Fifty years of rapid transit, 1864-1917",eng
299,9792665,P. Nigidii Figuli Operum reliquiae,lat
300,7910920,General principles for the organisation of factory inspection,eng
301,5601028,G.F. Ingrassia e le origini della medicina legale in Sicilia,ita
302,5450286,Research in impact protection of automobile occupants,eng
303,2065812,"Diseases of the nervous system, described for practitioners and students. With a chapter on liver-brain relationships and the neurological consequences of their disorders",eng
304,1196123,Goethes Faust in England und Amerika,ger
305,1227640,"Homer's Iliad, books XIX-XXIV",gre
306,5981484,"Acid curing and countercurrent decantation washing of an oxidized copper ore from Pinal County, Ariz",eng
307,9341155,Juicio sobre la antigüedad de las letras y de otras cosas de la vida civil,spa
308,1673004,Esther,ger
309,8638317,"In memoriam, Reuben Earle Fenton",eng
310,2136721,Conservation bulletin,eng
311,7440028,Making farm employment competitive,eng
312,8615688,Description raisonée des monumens égyptiens,fre
313,7606016,"Life insurance solvency issues : hearings before the Subcommittee on Commerce, Consumer Protection, and Competitiveness of the Committee on Energy and Commerce, House of Representatives, One Hundred Second Congress, first session, July 17 and 24, 1991",eng
314,8638395,Cartulaire : ou histoire diplomatique de Saint Dominique,fre
315,8920201,"Annual report of the Archaeological Survey of India, Eastern Circle, for ...",eng
316,5949954,Thermal decomposition products and burning characteristics of some synthetic low-density cellular materials,eng
317,6572340,"De Hegesippo, qui dicitur, Josephi interprete",lat
318,1960389,Sermons for the new life ...,eng
319,598237,Demography,eng
320,1495944,The earth before history; man's origin and the origin of life,eng
321,324233,"Unfairly won, a novel",eng
322,8643242,Fragments upon the balance of power in Europe,eng
323,7422530,When a patient speaks-- : patient representatives to FDA advisory committees : a video presented by the U.S. Food and Drug Administration,eng
324,2486330,American families : 75 years of change,eng
